user_id,content_id,action,timestamp,device,region,session_id
117,1008,play,2023-09-07 22:25:11,tablet,US,wynaoxjL
187,1003,pause,2023-09-07 21:08:46,mobile,APAC,nhbiXEng
190,1005,play,2023-09-07 21:56:58,mobile,EU,pgR9zu7s
141,1003,play,2023-09-07 07:15:10,mobile,EU,lZcJjeNv
182,1006,pause,2023-09-07 07:40:11,tablet,APAC,2g6bMrAZ
122,1004,play,2023-09-07 11:15:56,desktop,US,fH7Q8mKF
110,1001,play,2023-09-07 00:46:35,desktop,APAC,bgEbV39j
127,1001,forward,2023-09-07 06:27:05,tablet,APAC,vlLAkG0a
135,1002,pause,2023-09-07 13:13:57,desktop,APAC,ErIfUf1C
100,1005,play,2023-09-07 14:57:15,tablet,EU,9uJ8RWQd
115,1005,pause,2023-09-07 14:14:04,tablet,APAC,MAQAvsNn
176,1001,skip,2023-09-07 20:15:14,desktop,APAC,8cAHQuGa
164,1003,pause,2023-09-07 19:35:43,desktop,EU,Bojkd8Jq
119,1006,skip,2023-09-07 23:55:11,desktop,US,UsssVcM4
119,1001,forward,2023-09-07 23:38:30,mobile,EU,xhLF4WFu
183,1003,pause,2023-09-07 07:53:11,desktop,US,VrQ7ULae
190,1006,play,2023-09-07 20:23:40,mobile,APAC,6tfpN8um
162,1005,forward,2023-09-07 20:02:46,tablet,APAC,Qaxx9c0a
112,1000,play,2023-09-07 11:00:35,tablet,APAC,XJlZbfbO
146,1001,skip,2023-09-07 00:40:36,desktop,EU,8fZfAR4o
121,1001,play,2023-09-07 20:28:46,tablet,APAC,ekdQqPeL
157,1003,pause,2023-09-07 13:52:38,mobile,US,EwH5P0Wm
190,1000,play,2023-09-07 17:29:07,desktop,EU,7VLSghXb
121,1000,pause,2023-09-07 21:14:53,desktop,US,440pxlUD
165,1002,pause,2023-09-07 08:58:53,mobile,US,5zxvEEcC
194,1001,play,2023-09-07 04:07:18,tablet,EU,L0FBY9EF
129,1009,forward,2023-09-07 03:03:31,mobile,EU,eyt8ZEiF
159,1009,pause,2023-09-07 10:47:30,mobile,APAC,BkzmnaPE
199,1000,play,2023-09-07 13:21:03,desktop,APAC,qF2dEptR
146,1000,play,2023-09-07 09:58:01,mobile,US,sJrF09rt
