user_id,content_id,action,timestamp,device,region,session_id
173,1000,forward,2023-09-05 11:13:45,desktop,APAC,w6INsASg
187,1002,forward,2023-09-05 22:22:17,mobile,APAC,WJ8JNO64
149,1002,play,2023-09-05 06:58:58,mobile,APAC,ZeLXJNfH
199,1006,pause,2023-09-05 12:33:19,tablet,APAC,m9BzQSqq
164,1002,pause,2023-09-05 21:59:55,mobile,US,sFEmzfSo
102,1009,skip,2023-09-05 18:27:22,tablet,APAC,4C25O1qT
170,1008,skip,2023-09-05 00:11:51,tablet,EU,FTe3wfeR
116,1008,play,2023-09-05 18:45:41,tablet,US,hwJpEZN2
108,1008,pause,2023-09-05 00:47:28,mobile,US,Iuu6T8m5
155,1006,skip,2023-09-05 12:31:16,tablet,US,yhFa7HXH
124,1000,play,2023-09-05 12:16:20,desktop,EU,QggEdhIC
165,1008,skip,2023-09-05 01:23:43,tablet,EU,jqROzTEf
127,1000,play,2023-09-05 04:21:51,tablet,US,6Vi2g89l
121,1009,forward,2023-09-05 16:07:43,tablet,EU,Mx2NjEYB
175,1008,pause,2023-09-05 04:36:51,mobile,US,yV35Qncm
143,1002,forward,2023-09-05 18:11:37,tablet,EU,Y6Vskarg
127,1005,play,2023-09-05 17:56:02,mobile,EU,CdRghxvj
110,1003,skip,2023-09-05 22:11:30,desktop,US,YPtmB5hs
156,1004,forward,2023-09-05 07:24:17,tablet,US,XTWJ7xDl
177,1002,pause,2023-09-05 11:26:03,mobile,EU,pNYQ0bUM
110,1009,pause,2023-09-05 00:23:32,tablet,US,ux5i0GFs
172,1002,pause,2023-09-05 20:08:49,mobile,APAC,NsmS8Ccg
154,1006,forward,2023-09-05 07:13:59,mobile,US,ULB7OrJW
183,1003,pause,2023-09-05 18:01:52,tablet,EU,AT69L0wt
180,1008,forward,2023-09-05 02:16:54,tablet,EU,niO58s6E
